"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"149",314,28473,"Herb Cover = 14%",255,201,99,1,0.788235,0.388235,6332,0.2
"150",315,51,"Herb Cover = 15%",255,198,99,1,0.776471,0.388235,11,0
"151",316,24359,"Herb Cover = 16%",255,197,97,1,0.772549,0.380392,5417,0.1
"152",317,22704,"Herb Cover = 17%",255,197,97,1,0.772549,0.380392,5049,0.1
"153",318,26219,"Herb Cover = 18%",255,193,94,1,0.756863,0.368627,5831,0.2
"154",319,34360,"Herb Cover = 19%",255,193,94,1,0.756863,0.368627,7641,0.2
"155",320,46900,"Herb Cover = 20%",255,192,92,1,0.752941,0.360784,10430,0.3
"156",321,12,"Herb Cover = 21%",255,190,92,1,0.745098,0.360784,3,0
"157",322,63093,"Herb Cover = 22%",255,190,92,1,0.745098,0.360784,14032,0.4
"158",323,79765,"Herb Cover = 23%",255,189,89,1,0.741176,0.34902,17739,0.5
"159",324,92485,"Herb Cover = 24%",255,186,89,1,0.729412,0.34902,20568,0.5
"160",325,96268,"Herb Cover = 25%",255,185,87,1,0.72549,0.341176,21409,0.6
"161",326,92385,"Herb Cover = 26%",255,185,87,1,0.72549,0.341176,20546,0.5
"162",327,47,"Herb Cover = 27%",255,181,84,1,0.709804,0.329412,10,0
"163",328,83470,"Herb Cover = 28%",255,181,84,1,0.709804,0.329412,18563,0.5
"164",329,73942,"Herb Cover = 29%",255,180,82,1,0.705882,0.321569,16444,0.4
"165",330,67177,"Herb Cover = 30%",255,177,82,1,0.694118,0.321569,14940,0.4
"166",331,63391,"Herb Cover = 31%",255,176,79,1,0.690196,0.309804,14098,0.4
"167",332,61673,"Herb Cover = 32%",255,176,79,1,0.690196,0.309804,13716,0.4
"168",333,40,"Herb Cover = 33%",255,173,79,1,0.678431,0.309804,9,0
"169",334,61825,"Herb Cover = 34%",255,172,77,1,0.67451,0.301961,13750,0.4
"170",335,73210,"Herb Cover = 35%",255,172,77,1,0.67451,0.301961,16282,0.4
"171",336,63743,"Herb Cover = 36%",255,171,74,1,0.670588,0.290196,14176,0.4
"172",337,63247,"Herb Cover = 37%",255,167,74,1,0.654902,0.290196,14066,0.4
"173",338,60413,"Herb Cover = 38%",255,166,71,1,0.65098,0.278431,13436,0.4
"174",339,16,"Herb Cover = 39%",255,166,71,1,0.65098,0.278431,4,0
"175",340,57487,"Herb Cover = 40%",255,162,69,1,0.635294,0.270588,12785,0.3
"176",341,53526,"Herb Cover = 41%",255,162,69,1,0.635294,0.270588,11904,0.3
"177",342,50456,"Herb Cover = 42%",255,161,66,1,0.631373,0.258824,11221,0.3
"178",343,47216,"Herb Cover = 43%",255,158,66,1,0.619608,0.258824,10501,0.3
"179",344,45029,"Herb Cover = 44%",255,158,66,1,0.619608,0.258824,10014,0.3
"180",345,460,"Herb Cover = 45%",255,156,64,1,0.611765,0.25098,102,0
"181",346,43387,"Herb Cover = 46%",255,153,64,1,0.6,0.25098,9649,0.3
"182",347,42296,"Herb Cover = 47%",255,152,61,1,0.596078,0.239216,9406,0.2
"183",348,41181,"Herb Cover = 48%",255,152,61,1,0.596078,0.239216,9158,0.2
"184",349,40550,"Herb Cover = 49%",255,147,59,1,0.576471,0.231373,9018,0.2
"185",350,39917,"Herb Cover = 50%",255,147,59,1,0.576471,0.231373,8877,0.2
"186",351,2,"Herb Cover = 51%",255,146,56,1,0.572549,0.219608,0,0
"187",352,39471,"Herb Cover = 52%",255,142,56,1,0.556863,0.219608,8778,0.2
"188",353,38407,"Herb Cover = 53%",255,141,54,1,0.552941,0.211765,8542,0.2
"189",354,38784,"Herb Cover = 54%",255,141,54,1,0.552941,0.211765,8625,0.2
"190",355,494475,"Herb Cover = 55%",255,137,54,1,0.537255,0.211765,109969,2.9
"191",356,34965,"Herb Cover = 56%",255,136,51,1,0.533333,0.2,7776,0.2
"192",358,36673,"Herb Cover = 58%",255,135,48,1,0.529412,0.188235,8156,0.2
"193",359,32265,"Herb Cover = 59%",255,131,48,1,0.513725,0.188235,7176,0.2
"194",360,31110,"Herb Cover = 60%",255,130,46,1,0.509804,0.180392,6919,0.2
"195",361,30287,"Herb Cover = 61%",255,130,46,1,0.509804,0.180392,6736,0.2
"196",362,29104,"Herb Cover = 62%",255,124,43,1,0.486275,0.168627,6473,0.2
"197",364,27430,"Herb Cover = 64%",255,123,41,1,0.482353,0.160784,6100,0.2
"198",365,26894,"Herb Cover = 65%",255,119,41,1,0.466667,0.160784,5981,0.2
"199",366,24387,"Herb Cover = 66%",255,119,41,1,0.466667,0.160784,5424,0.1
"200",367,22897,"Herb Cover = 67%",255,118,38,1,0.462745,0.14902,5092,0.1
"201",368,21464,"Herb Cover = 68%",255,114,38,1,0.447059,0.14902,4773,0.1
"202",370,20224,"Herb Cover = 70%",255,112,36,1,0.439216,0.141176,4498,0.1
"203",371,19219,"Herb Cover = 71%",255,107,33,1,0.419608,0.129412,4274,0.1
"204",372,17446,"Herb Cover = 72%",255,107,33,1,0.419608,0.129412,3880,0.1
"205",373,16333,"Herb Cover = 73%",255,105,31,1,0.411765,0.121569,3632,0.1
"206",374,15602,"Herb Cover = 74%",255,102,31,1,0.4,0.121569,3470,0.1
